"","id","SITE","SPECIES","Myc","N","nyears","amb.rep","elev.rep","yi","vi","Experiment.Name","note","legumes","Source.Reference","Site.Name","Site.Name2","Species","Species2","Country","Latitude","Lat","Longitude","Lon","MAP","MAT","ph","CNr","totN.","CNr2","comment","comment2","map","PamountBray2","PamountBray","PamountBray09_new","P_ref","Age.at.start","ambco2","co2conc","Fumigation.type","Biome","System.Type","ESA_PAN","MODIS_PAN","CNwise","Ntot","NtotPerc","pHgrids","CEC","Pretention","PamountBray_GSDE","PamountBray09","PamountOlsen","PamountMehlich","PTot","PHO","ENa","Ktot","Ptot_ORNL","Plabile","Porg","Poccluded","Psecondary","Papatite","ClayPerc","MATcru","AGTcru0","AGTcru5","GDD","Alpha","PETcru","MAPcru","MAPmax","AETsplash","PETsplash2","waterlim","moisture","SolRad","Twarm","T_Day.range","Isothermality","T_seasonality","Tmax_warmestM","Tmin_coldestM","T_An.range","T_wettestQ","T_driestsQ","T_warmestQ","T_coldestQ","P_wettestM","P_driestM","P_seasonality","P_wettestQ","P_driestQ","P_warmestQ","P_coldestQ","MWD","MAPraw","MAP2","Age2","newN","Classification","deltaco2"
"1","Aspen_A-ECM_Nlow","Aspen","A","ECM","Nlow",11,3,3,0.29603085763985,0.00496277337027962,"FACTS II FACE3_pt_c","","","Talhelm et al., 2014","FACTS II FACE","FACTS II FACE","Populus tremuloides","P. tremuloides","USA",45.67,"N",-89.625,"W",810,4.9,5.5,12.45,0.12,NA,"Talhelm et al. 2014 (contains C), Talhelm pers comm (N and CN). N is in Mg/ha, so for %N I have used old values","","",925,925,64.2,"Dunbar et al. 2012 Table S2","1",370,532,"FACE","Temperate_Forest","Tree Stand","Temperate_Forest","Temperate_US",17,3.690000057,0.369000006,59,19,4,925,9.159999847,852,2840,500,2100,NA,188,426.0413513,30.09351921,185.2680664,120.2070923,50.57582474,39.89683914,10,7.751538539,15.07444467,18.81000027,1518,1.259971191,678.900004,789.8000107,1069.599976,797.0759277,797.0759277,1,0.990871739,12308.41699,17.50000016,11.55300019,26.98542492,1136.885789,23.23200035,-19.57999992,42.81200027,16.41200034,-10.52000002,17.50400035,-10.52000002,108,22,45.88381453,307,85,295,85,NA,"810",810,1,"Nlow","medium",0.363140483703374
"2","Aspen_AB-ECM_Nlow","Aspen","AB","ECM","Nlow",11,3,3,0.421393627439682,0.0130962311273343,"FACTS II FACE3_ptas_c","","","Talhelm et al., 2014","FACTS II FACE","FACTS II FACE","Populus tremuloides-Betula papyrifera","P. tremuloides-B. papyrifera","USA",45.67,"N",-89.625,"W",810,4.9,5.5,12.35,0.12,NA,"Talhelm et al. 2014 (contains C), Talhelm pers comm (N and CN). N is in Mg/ha, so for %N I have used old values","","",925,925,64.2,"Dunbar et al. 2012 Table S2","1",370,532,"FACE","Temperate_Forest","Tree Stand","Temperate_Forest","Temperate_US",17,3.690000057,0.369000006,59,19,4,925,9.159999847,852,2840,500,2100,NA,188,426.0413513,30.09351921,185.2680664,120.2070923,50.57582474,39.89683914,10,7.751538539,15.07444467,18.81000027,1518,1.259971191,678.900004,789.8000107,1069.599976,797.0759277,797.0759277,1,0.990871739,12308.41699,17.50000016,11.55300019,26.98542492,1136.885789,23.23200035,-19.57999992,42.81200027,16.41200034,-10.52000002,17.50400035,-10.52000002,108,22,45.88381453,307,85,295,85,NA,"810",810,1,"Nlow","medium",0.363140483703374
"3","DUKE_PITA-ECM_Nlow","DUKE","PITA","ECM","Nlow",9,3,3,0.189653473156549,0.0180149624217804,"DUKE_c","","","McCarthy et al., 2010","DUKE FACE","DUKE FACE","Pinus taeda","P. taeda","USA",35.98,"N",-79.1,"W",1140,15.5,5.75,23.6,0.07,NA,"Lichter et al. 2008","2005, elev, 0-15cm","",589,NA,7.3,"","13",380,570,"FACE","Temperate_Forest","Tree Stand","Temperate_Forest","Temperate_US",14,1.200000048,0.120000005,50,14,7,853,7.300000191,-999,1040,400,1800,NA,78,253.4999847,17.51226234,66.46611023,127.344696,33.86075592,8.316147804,15,17.58307721,17.58307721,18.84833364,3297,1.231355399,1168.800013,1108.600021,1524.600098,1139.556885,1139.556885,1,0.972834297,15124.33301,24.48333327,13.11566661,37.40493443,793.5546533,32.2480011,-2.815999985,35.06400108,24.50466665,10.18933336,24.50466665,4.840666721,110,80,10.60838144,316,261,316,276,NA,"1140",1140,13,"Nlow","medium",0.405465108108164
"4","Duke_Prototype_PITA-ECM_Nhigh","Duke_Prototype","PITA","ECM","Nhigh",1,3,3,0.2097179260176,0.0154449868997926,"DUKEprot_cf","","","McCarthy et al., 2010","Duke Prototype","Duke Prototype F","Pinus taeda","P. taeda","USA",35.95,"N",-79.15,"W",1140,15.5,NA,NA,NA,NA,"","","",589,NA,NA,"","13",380,570,"FACE","Temperate_Forest","Tree Stand","Temperate_Forest","Temperate_US",14,1.200000048,0.120000005,51,14,7,589,5.425000191,-999,1831,500,900,NA,62,253.4999847,17.51226234,66.46611023,127.344696,33.86075592,8.316147804,15,17.58076952,17.58076952,18.84583364,3297,1.231355399,1168.800013,1108.600021,1524.600098,1139.556885,1139.556885,1,0.972834297,15133.41699,24.58333333,13.15966674,37.49192915,793.2594074,32.38399887,-2.71600008,35.09999895,24.5673329,10.24800005,24.5673329,4.911333323,111,80,10.88735423,319,260,319,278,NA,"1140",1140,13,"Nhigh","high",0.405465108108164
"5","ORNL_SG-AM_Nlow","ORNL","SG","AM","Nlow",11,3,2,0.0146005385254565,0.000940260355630108,"ORNERP_liqui_c","Walker et al 2015: evidence for nitrogen fixation in the Oak Ridge experiment, and an increasing presence of Elaeagnus umbellata (an invasive actinorhizal N fixing shrub)","Y","Norby et al., 2010","ORNL FACE","ORNL FACE","Liquidambar styraciflua","L. styraciflua","USA",35.9,"N",-84.33,"W",1371,13.9,5.7,13.9,0.23,NA,"Iversen et al. 2012","elevated,  0-5 cm; bulk density=1.13 g/m3 (Table S1); N%=(2.63/1130)*100?","",484,484,4.494999886,"","10",380,550,"FACE","Temperate_Forest","Tree Stand","Temperate_Forest","Croplands",14,1.559999943,0.155999994,53,15,8,484,4.494999886,-999,2115,500,1000,NA,72,206.9999847,14.29995537,54.27410507,103.9856186,27.64960861,6.790700436,20,16.97692327,16.97692327,18.26666688,3197,1.189761952,1062.800018,1697.600029,1839.400024,1112.617554,1113.529541,0.999180994,1.524521772,14862.91699,24.18333371,13.62266673,37.83653715,814.1352211,31.89999962,-4.104000092,36.00399971,13.79533315,19.84133355,23.90933323,3.779333313,131,77,14.24670378,345,261,320,320,NA,"1371",1371,10,"Nlow","medium",0.369747025506085
"6","PopFACE_alba-mixed_Nhigh","PopFACE","alba","ECM","Nhigh",2,3,3,0.226685054608428,0.0134568083459063,"POPFACE_pa_c","","","Gielen et al., 2005","POPFACE","POPFACE","Populus alba","P. alba","Italy",42.37,"N",11.8,"E",1750,14.1,4.89,10.42,0.1,NA,"Hoosbeek et al. 2004","Elev, after 2 years (2001) 0-10cm","",510,510,17,"Lagomarsino et al. 2008 POP_EUROFACE_P_Olsen.xlsx","1",385,550,"FACE","Temperate_Forest","Tree Stand","Cropland","Croplands",12,1.909999967,0.190999997,77,24,11,510,4.954999924,NA,NA,1000,NA,NA,57,321.8891602,39.77147675,130.8690491,73.31347656,23.08366013,54.85147858,31,18.64384652,18.64384652,18.64384652,3521,1.25999999,1101.400026,2777.700075,963.4000244,674.6030884,1228.586548,1,0.432529566,14683.66699,22.9666667,9.892666757,36.86341834,635.5609722,28.61199951,1.776000023,26.83599949,11.65600002,22.91533343,22.91533343,7.668666641,55,8,39.75196225,150,45,45,132,0,"watered",963.4000244,1,"Nhigh","high",0.356674943938732
"7","PopFACE_eur-mixed_Nhigh","PopFACE","eur","ECM","Nhigh",2,3,3,0.291373762079697,0.00139708925143695,"POPFACE_pe_c","","","Gielen et al., 2005","POPFACE","POPFACE","Populus euramericana","P. euramericana","Italy",42.37,"N",11.8,"E",1750,14.1,4.89,9.55,0.1,NA,"Hoosbeek et al. 2004","Elev, after 2 years (2001) 0-10cm","",510,510,17,"Lagomarsino et al. 2008 POP_EUROFACE_P_Olsen.xlsx","1",385,550,"FACE","Temperate_Forest","Tree Stand","Cropland","Croplands",12,1.909999967,0.190999997,77,24,11,510,4.954999924,NA,NA,1000,NA,NA,57,321.8891602,39.77147675,130.8690491,73.31347656,23.08366013,54.85147858,31,18.64384652,18.64384652,18.64384652,3521,1.25999999,1101.400026,2777.700075,963.4000244,674.6030884,1228.586548,1,0.432529566,14683.66699,22.9666667,9.892666757,36.86341834,635.5609722,28.61199951,1.776000023,26.83599949,11.65600002,22.91533343,22.91533343,7.668666641,55,8,39.75196225,150,45,45,132,0,"watered",963.4000244,1,"Nhigh","high",0.356674943938732
"8","PopFACE_nigra-mixed_Nhigh","PopFACE","nigra","ECM","Nhigh",2,3,3,0.166533544378467,0.000725862546533828,"POPFACE_pn_c","","","Gielen et al., 2005","POPFACE","POPFACE","Populus nigra","P. nigra","Italy",42.37,"N",11.8,"E",1750,14.1,4.89,9.88,0.1,NA,"Hoosbeek et al. 2004","Elev, after 2 years (2001) 0-10cm","",510,510,17,"Lagomarsino et al. 2008 POP_EUROFACE_P_Olsen.xlsx","1",385,550,"FACE","Temperate_Forest","Tree Stand","Cropland","Croplands",12,1.909999967,0.190999997,77,24,11,510,4.954999924,NA,NA,1000,NA,NA,57,321.8891602,39.77147675,130.8690491,73.31347656,23.08366013,54.85147858,31,18.64384652,18.64384652,18.64384652,3521,1.25999999,1101.400026,2777.700075,963.4000244,674.6030884,1228.586548,1,0.432529566,14683.66699,22.9666667,9.892666757,36.86341834,635.5609722,28.61199951,1.776000023,26.83599949,11.65600002,22.91533343,22.91533343,7.668666641,55,8,39.75196225,150,45,45,132,0,"watered",963.4000244,1,"Nhigh","high",0.356674943938732
"9","Antwerp_OTC_P.sylvestris-ECM_Nlow","Antwerp_OTC","P.sylvestris","ECM","Nlow",3,2,2,0.492917000749548,0.0468995491596609,"UA_OTC_c","","","Janssens et al., 2005","Antwerp OTC","Antwerp OTC","Pinus sylvestris","P. sylvestris","Belgium",51.17,"N",4.38,"E",770,12,NA,NA,0.12,NA,"Ivan: November","","",940,940,8.930000305,"","3",380,780,"OTC","Temperate_Forest","Tree Stand","Cropland","Other",-9,-9,-0.9,57,13,4,940,8.930000305,NA,NA,500,NA,0.099999994,156,321.8891602,34.7212944,49.01543808,69.44468689,16.98644829,151.721283,12,14.62846169,14.62846169,15.51416683,1800,1.259851038,763.2000043,757.900012,1054.400024,766.6369019,766.6369629,0.99999992,0.988603536,9821.75,17.48333343,6.81400008,31.41250289,559.9508494,20.84399986,-0.84799999,21.69199985,7.553333402,6.542000026,17.59600019,3.897333324,77,50,13.76748949,225,165,210,192,NA,"770",770,3,"Nlow","low",0.719122666963206
"10","Bangor_Alnus-ECM/AM_Nlow","Bangor","Alnus","ECM","Nlow",4,4,4,0.250586529054368,0.00670831011660164,"BangorFACE_c","species grown in monoculture","","Smith et al., 2013 pers comm","BangorFACE","BangorFACE","Alnus glutinosa","A. glutinosa","UK",53.23,"N",-4.02,"W",1034,11.5,4.6,9.6,0.26,NA,"pers.comm (BangorFACE Soil CN 2008.xls) Also in Hoosbeek et al. 2011 Fig 1: Check for %N","elev 2008","",1212,NA,11.975,"","seedlings",380,580,"FACE","Temperate_Forest","Tree Stand","Grassland","Grasslands",14,2.589999914,0.258999991,56,24,5,NA,NA,NA,NA,NA,NA,0.182838082,NA,394.1975708,48.70565033,160.2671814,89.78244019,28.26911926,67.17318726,17,13.77923092,13.77923092,14.58583351,1524,1.25999999,567.4000181,1110.200029,1617.5,577.9418335,577.9418335,1,1.92095461,9526.583008,13.9333334,6.32958329,36.56604824,409.2123047,17.04000092,-0.270000011,17.31000093,6.808333278,9.9599998,13.77250004,3.92916669,140,66,25.56205531,397,208,241,335,NA,"1034",1034,0,"Nhigh","high",0.422856850820034
