"","X","id","SITE","SPECIES","Myc","N","Nyears","amb.rep","elev.rep","yi","vi","Experiment.Name","note","legumes","Source.Reference","Site.Name","Site.Name2","Species","Species2","Country","Latitude","Lat","Longitude","Lon","MAP","MAT","ph","CNr","totN.","CNr2","comment","comment2","map","PamountBray2","PamountBray","PamountBray09_new","P_ref","Age.at.start","ambco2","co2conc","Fumigation.type","Biome","System.Type","ESA_PAN","MODIS_PAN","CNwise","Ntot","NtotPerc","pHgrids","CEC","Pretention","PamountBray_GSDE","PamountBray09","PamountOlsen","PamountMehlich","PTot","PHO","ENa","Ktot","Ptot_ORNL","Plabile","Porg","Poccluded","Psecondary","Papatite","ClayPerc","MATcru","AGTcru0","AGTcru5","GDD","Alpha","PETcru","MAPcru","MAPmax","AETsplash","PETsplash2","waterlim","moisture","SolRad","Twarm","T_Day.range","Isothermality","T_seasonality","Tmax_warmestM","Tmin_coldestM","T_An.range","T_wettestQ","T_driestsQ","T_warmestQ","T_coldestQ","P_wettestM","P_driestM","P_seasonality","P_wettestQ","P_driestQ","P_warmestQ","P_coldestQ","MWD","MAPraw","MAP2","Age","newN","Classification","deltaco2","obs"
"1",13,"BCI_tropical_trees-AM_Nhigh","BCI","tropical_trees","AM","Nhigh",0.23,4,4,0.244690629827358,0.0960931815543166,NA,NA,NA,"Winter & Lovelock 1999","BCI","BCI","Mixed tropical trees","trop trees","Panama",9.15,"N",-79.85,"W",1750,30,5.1,7,0.523,NA,"max",NA,NA,808,NA,2.2,"Wright et al. 2011 Table 1","seedlings",380,720,"OTC","Tropical_Forest","Tree Stand",NA,NA,-1,-1,-0.1,51,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,24.91923115,24.91923115,24.91923115,7634,1.25999999,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,1,1.652137463,19279.08398,27.31666724,6.094333331,74.43006272,66.19232786,30.76000023,22.5720005,8.187999725,26.06133334,26.5660003,27.37133312,25.75,391,16,66.07387958,935,83,449,733,0,"watered",3070.900146,0,NA,NA,0.63907995928967,1
"2",16,"BCI2-trees_tropical_trees-AM_Nlow","BCI2-trees","tropical_trees","AM","Nlow",0.58,2,2,0.303176632893556,0.00807912015797562,NA,NA,NA,"Wurth et al. 1998","BCI","BCI2","Beilschmiedia pendula, Tachigalia versicolor","B.pendula - T.versicolor","Panama",9.15,"N",-79.85,"W",2600,27,6.3,NA,0.0114,9.65,"Soils are slightly acidic oxisols (pH 6á3) derived from basaltic bedrock (Dietrich, Windsor & Dunne 1992), are silty in texture and low in extractable nutrients","plant growth in deep shade is commonly not nutrient limited",NA,455,NA,2.2,"Wright et al. 2011 Table 1","seedlings",414,713,"G","Tropical_Forest","Tree Stand",NA,NA,-1,-1,-0.1,51,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,24.91923115,24.91923115,24.91923115,7634,1.134399648,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,0.883958912,1.652137463,19279.08398,27.31666724,6.094333331,74.43006272,66.19232786,30.76000023,22.5720005,8.187999725,26.06133334,26.5660003,27.37133312,25.75,391,16,66.07387958,935,83,449,733,NA,"2600",2600,0,NA,NA,0.543615446588982,2
"3",17,"BCI3_Copaifera aromatica (leguminous)-AM_Nlow","BCI3","Copaifera aromatica (leguminous)","AM","Nlow",0.14,2,2,0.280713403135687,0.0215309352029114,NA,NA,NA,"Lovelock et al. 1999a Biotropica","BCI","BCI3","Copaifera aromatica","C. aromatica","Panama",9.15,"N",-79.85,"W",1750,33,6.24,9.65,0.523,NA,"Dieter et al. 2010","Soil was collected locally and mixed with sand ( 2:1 mix) to improve drainage",NA,455,NA,2.2,"Wright et al. 2011 Table 1","seedlings",386,861,"OTC","Tropical_Forest","Tree Stand",NA,NA,-1,-1,-0.1,51,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,24.91923115,24.91923115,24.91923115,7634,1.25999999,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,1,1.652137463,19279.08398,27.31666724,6.094333331,74.43006272,66.19232786,30.76000023,22.5720005,8.187999725,26.06133334,26.5660003,27.37133312,25.75,391,16,66.07387958,935,83,449,733,0,"watered",3070.900146,0,NA,NA,0.8022571349629,3
"4",18,"BCI4_Beilschmiedia pendula-AM_Nlow","BCI4","Beilschmiedia pendula","AM","Nlow",0.38,2,2,0.284931039079891,0.037006025323493,NA,NA,NA,"Lovelock et al., 1996","BCI","BCI4","Beilschmiedia pendula","B. pendula","Panama",9.16,"N",-79.85,"W",1750,29,6.24,9.65,0.523,NA,"Dieter et al. 2010","2:1 mix of red clay obtained from 30-100cm below the soil surface close to the lab and washed river sand",NA,808,NA,2.2,"Wright et al. 2011 Table 1","seedlings",380,790,"OTC","Tropical_Forest","Tree Stand",NA,NA,-1,-1,-0.1,50,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,24.92000038,24.92000038,24.92000038,7634,1.25999999,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,1,1.652137463,19279.08398,27.11666648,6.094333331,74.43006272,66.19232786,30.76000023,22.5720005,8.187999725,26.06133334,26.5660003,27.37133312,25.75,391,16,66.07387958,935,83,449,733,0,"watered",3070.900146,0,NA,NA,0.731861692740636,4
"5",53,"Hyderabad_Gmelina arborea-AM_Nhigh","Hyderabad","Gmelina arborea","AM","Nhigh",0.33,4,4,0.300421166817678,0.00501604019735141,"Hyderabad",NA,NA,"Reddy et al., 2010","Hyderabad","Hyderabad","Gmelina arborea","G. arborea","India",17.1,"N",78.23,"E",1750,27,7.5,8.95,0.0915,NA,"Rasineni et al. 2011","Year 2009, elevated CO2. Table S1. Assumed bulk density: 1.3 g/cm3 and 0-7.5cm = 0.82/(528*1.3*10^6/(0.075*10^7)*10^(-4))",NA,1074,1074,10.18000031,NA,"0.08",360,460,"OTC","Tropical_Forest","Tree Stand","Cropland","Croplands",11,1.299999952,0.129999995,71,30,4,1074,10.18000031,523,526,600,600,0.479999989,130,503.8467712,36.5202446,124.9643555,190.2079315,57.30319977,94.8509903,29,26.21538497,26.21538497,26.21538497,7774,1.25999999,1794.100043,2777.700075,1282.099976,967.2772217,1959.506592,1,0.357130725,19386.75,30.0833327,11.4666663,52.8417853,318.7107365,36.75999832,15.06000042,21.6999979,25.19333363,22.81600014,30.10666625,22.0260005,182,2,110.1777325,486,8,51,19,0,"watered",1282.099976,0.08,NA,NA,0.245122458032985,5
"6",85,"PNM_tropical_trees-AM_Nlow","PNM","tropical_trees","AM","Nlow",0.5,4,4,-0.0176076452620678,0.0424335649723533,NA,NA,NA,"Lovelock et al. 1998","PNM","PNM","Mixed tropical trees","trop trees","Panama",9.023,"N",-79.554,"W",1750,27,5.9,9.8,0.144,NA,NA,NA,NA,626,626,6,NA,"seedlings",350,700,"OTC","Tropical_Forest","Tree Stand",NA,NA,12,1.610000014,0.161000001,56,23,10,626,6,-999,2013,400,1000,NA,77,NA,NA,NA,NA,NA,NA,37,24.90946192,24.90946192,24.90946192,7634,1.25999999,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,1,1.652137463,19320.33398,27.56666692,6.634999752,76.22931286,67.63119054,31.23600006,22.53199959,8.704000473,26.03199991,26.9240001,27.6239996,25.96666654,365,12,64.83978044,1016,66,424,844,0,"watered",3070.900146,0,NA,NA,0.693147180559945,6
"7",86,"PNM2_tropical_trees-AM_Nlow","PNM2","tropical_trees","AM","Nlow",0.58,4,4,0.0601875748397541,0.134656431292837,NA,NA,NA,"Winter et al. 2000","PNM","PNM2","Mixed tropical trees","trop trees","Panama",9.023,"N",-79.554,"W",1750,27,6.3,10.2,0.234,NA,NA,NA,NA,626,626,6,NA,"seedlings",380,700,"OTC","Tropical_Forest","Tree Stand",NA,NA,12,1.610000014,0.161000001,56,23,10,626,6,-999,2013,400,1000,NA,77,NA,NA,NA,NA,NA,NA,37,24.90946192,24.90946192,24.90946192,7634,1.25999999,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,1,1.652137463,19320.33398,27.56666692,6.634999752,76.22931286,67.63119054,31.23600006,22.53199959,8.704000473,26.03199991,26.9240001,27.6239996,25.96666654,365,12,64.83978044,1016,66,424,844,0,"watered",3070.900146,0,NA,NA,0.610909082322973,7
"8",87,"PNM3_tropical_trees-AM_Nhigh","PNM3","tropical_trees","AM","Nhigh",0.3,4,4,0.346476361305432,0.00895888489066713,NA,NA,NA,"Winter et al. 2001","PNM","PNM3","Ficus insipida, Virola surinamensis ","F.Insipida - V.surinamensis ","Panama",9.023,"N",-79.554,"W",1750,27,5.6,7,0.523,NA,"max",NA,NA,626,626,6,NA,"seedlings",380,730,"OTC","Tropical_Forest","Tree Stand",NA,NA,12,1.610000014,0.161000001,56,23,10,626,6,-999,2013,400,1000,NA,77,NA,NA,NA,NA,NA,NA,37,24.90946192,24.90946192,24.90946192,7634,1.25999999,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,1,1.652137463,19320.33398,27.56666692,6.634999752,76.22931286,67.63119054,31.23600006,22.53199959,8.704000473,26.03199991,26.9240001,27.6239996,25.96666654,365,12,64.83978044,1016,66,424,844,0,"watered",3070.900146,0,NA,NA,0.652873281422005,8
"9",88,"PNM4_Luehea seemannii-AM_Nlow","PNM4","Luehea seemannii","AM","Nlow",0.74,5,5,-0.0294861656544634,0.327573094577912,NA,NA,NA,"Lovelock et al. 1999b Plant, Cell & Environment","PNM","PNM4","Luehea seemannii","L. seemannii","Panama",9.023,"N",-79.554,"W",1800,28,5.9,12.36,0.144,NA,"Korner (email)",NA,NA,626,626,6,NA,"80",360,754,"G","Tropical_Forest","Tree Stand",NA,NA,12,1.610000014,0.161000001,56,23,10,626,6,-999,2013,400,1000,NA,77,NA,NA,NA,NA,NA,NA,37,24.90946192,24.90946192,24.90946192,7634,1.103681025,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,0.883958912,1.652137463,19320.33398,27.56666692,6.634999752,76.22931286,67.63119054,31.23600006,22.53199959,8.704000473,26.03199991,26.9240001,27.6239996,25.96666654,365,12,64.83978044,1016,66,424,844,NA,"1800",1800,80,NA,NA,0.7392883365578,9
"10",89,"PNM5, high N_Ficus insipida-AM_Nhigh","PNM5, high N","Ficus insipida","AM","Nhigh",0.32,6,6,0.522609268842801,0.0546902669059545,NA,NA,NA,"Winter et al. 2001a","PNM","PNM5 F","Ficus insipida","F.insipida","Panama",9.023,"N",-79.554,"W",1740,27,5.6,NA,NA,NA,NA,"1: 1 mixture (v/v) of sieved, dark, air dried top soil and leaf litter",NA,626,626,6,NA,"seedlings",380,730,"OTC","Tropical_Forest","Tree Stand",NA,NA,12,1.610000014,0.161000001,56,23,10,626,6,-999,2013,400,1000,NA,77,NA,NA,NA,NA,NA,NA,37,24.90946192,24.90946192,24.90946192,7634,1.103681025,1314.400021,2777.700075,3070.900146,1486.179443,1681.276611,0.883958912,1.652137463,19320.33398,27.56666692,6.634999752,76.22931286,67.63119054,31.23600006,22.53199959,8.704000473,26.03199991,26.9240001,27.6239996,25.96666654,365,12,64.83978044,1016,66,424,844,NA,"1740",1740,0,NA,NA,0.652873281422005,10
